highwaympg;citympg;peakrpm;horsepower;compressionratio;stroke;wheelbase;carlength;carwidth;carheight;curbweight;enginesize;boreratio
27;21;5000;111;9;2.68;88.6;168.8;64.1;48.8;2548;130;3.47
22;18;5500;115;8;3.4;99.4;176.6;66.4;54.3;2824;136;3.19
25;19;5500;110;8.5;3.4;99.8;177.3;66.3;53.1;2507;136;3.19
25;19;5500;110;8.5;3.4;105.8;192.7;71.4;55.7;2844;136;3.19
25;19;5500;110;8.5;3.4;105.8;192.7;71.4;55.7;2954;136;3.19
20;17;5500;140;8.3;3.4;105.8;192.7;71.4;55.9;3086;131;3.13
22;16;5500;160;7;3.4;99.5;178.2;67.9;52;3053;131;3.13
29;23;5800;101;8.8;2.8;101.2;176.8;64.8;54.3;2395;108;3.5
29;23;5800;101;8.8;2.8;101.2;176.8;64.8;54.3;2395;108;3.5
28;21;4250;121;9;3.19;101.2;176.8;64.8;54.3;2710;164;3.31
28;21;4250;121;9;3.19;101.2;176.8;64.8;54.3;2765;164;3.31
25;20;4250;121;9;3.19;103.5;189;66.9;55.7;3055;164;3.31
22;16;5400;182;8;3.39;103.5;189;66.9;55.7;3230;209;3.62
22;16;5400;182;8;3.39;103.5;193.8;67.9;53.7;3380;209;3.62
20;15;5400;182;8;3.39;110;197;70.9;56.3;3505;209;3.62
53;47;5100;48;9.5;3.03;88.4;141.1;60.3;53.2;1488;61;2.91
43;38;5400;70;9.6;3.11;94.5;155.9;63.6;52;1874;90;3.03
43;38;5400;70;9.6;3.11;94.5;158.8;63.6;52;1909;90;3.03
41;37;5500;68;9.41;3.23;93.7;157.3;63.8;50.8;1876;90;2.97
38;31;5500;68;9.4;3.23;93.7;157.3;63.8;50.8;1876;90;2.97
